stage,param_id,parameter_set,a,b,c,d,direction
1,a60_b0.7_c1800_d14400_continuation,a=60s | b=0.7x sigma | c=1800s | d=14400s | continuation,60,0.7,1800,14400,continuation
1,a60_b0.7_c1800_d14400_reversal,a=60s | b=0.7x sigma | c=1800s | d=14400s | reversal,60,0.7,1800,14400,reversal
1,a60_b0.7_c3600_d1800_continuation,a=60s | b=0.7x sigma | c=3600s | d=1800s | continuation,60,0.7,3600,1800,continuation
1,a60_b0.7_c3600_d1800_reversal,a=60s | b=0.7x sigma | c=3600s | d=1800s | reversal,60,0.7,3600,1800,reversal
1,a60_b0.7_c3600_d7200_continuation,a=60s | b=0.7x sigma | c=3600s | d=7200s | continuation,60,0.7,3600,7200,continuation
1,a60_b0.7_c3600_d7200_reversal,a=60s | b=0.7x sigma | c=3600s | d=7200s | reversal,60,0.7,3600,7200,reversal
1,a60_b0.7_c3600_d14400_continuation,a=60s | b=0.7x sigma | c=3600s | d=14400s | continuation,60,0.7,3600,14400,continuation
1,a60_b0.7_c3600_d14400_reversal,a=60s | b=0.7x sigma | c=3600s | d=14400s | reversal,60,0.7,3600,14400,reversal
1,a60_b0.9_c900_d1800_continuation,a=60s | b=0.9x sigma | c=900s | d=1800s | continuation,60,0.9,900,1800,continuation
1,a60_b0.9_c900_d1800_reversal,a=60s | b=0.9x sigma | c=900s | d=1800s | reversal,60,0.9,900,1800,reversal
1,a60_b0.9_c900_d7200_continuation,a=60s | b=0.9x sigma | c=900s | d=7200s | continuation,60,0.9,900,7200,continuation
1,a60_b0.9_c900_d7200_reversal,a=60s | b=0.9x sigma | c=900s | d=7200s | reversal,60,0.9,900,7200,reversal
1,a60_b0.9_c900_d14400_continuation,a=60s | b=0.9x sigma | c=900s | d=14400s | continuation,60,0.9,900,14400,continuation
1,a60_b0.9_c900_d14400_reversal,a=60s | b=0.9x sigma | c=900s | d=14400s | reversal,60,0.9,900,14400,reversal
1,a60_b0.9_c1800_d1800_continuation,a=60s | b=0.9x sigma | c=1800s | d=1800s | continuation,60,0.9,1800,1800,continuation
1,a60_b0.9_c1800_d1800_reversal,a=60s | b=0.9x sigma | c=1800s | d=1800s | reversal,60,0.9,1800,1800,reversal
1,a60_b0.9_c1800_d7200_continuation,a=60s | b=0.9x sigma | c=1800s | d=7200s | continuation,60,0.9,1800,7200,continuation
1,a60_b0.9_c1800_d7200_reversal,a=60s | b=0.9x sigma | c=1800s | d=7200s | reversal,60,0.9,1800,7200,reversal
1,a60_b0.9_c1800_d14400_continuation,a=60s | b=0.9x sigma | c=1800s | d=14400s | continuation,60,0.9,1800,14400,continuation
1,a60_b0.9_c1800_d14400_reversal,a=60s | b=0.9x sigma | c=1800s | d=14400s | reversal,60,0.9,1800,14400,reversal
1,a60_b0.9_c3600_d1800_continuation,a=60s | b=0.9x sigma | c=3600s | d=1800s | continuation,60,0.9,3600,1800,continuation
1,a60_b0.9_c3600_d1800_reversal,a=60s | b=0.9x sigma | c=3600s | d=1800s | reversal,60,0.9,3600,1800,reversal
1,a60_b0.9_c3600_d7200_continuation,a=60s | b=0.9x sigma | c=3600s | d=7200s | continuation,60,0.9,3600,7200,continuation
1,a60_b0.9_c3600_d7200_reversal,a=60s | b=0.9x sigma | c=3600s | d=7200s | reversal,60,0.9,3600,7200,reversal
1,a60_b0.9_c3600_d14400_continuation,a=60s | b=0.9x sigma | c=3600s | d=14400s | continuation,60,0.9,3600,14400,continuation
1,a60_b0.9_c3600_d14400_reversal,a=60s | b=0.9x sigma | c=3600s | d=14400s | reversal,60,0.9,3600,14400,reversal
1,a120_b0.3_c900_d1800_continuation,a=120s | b=0.3x sigma | c=900s | d=1800s | continuation,120,0.3,900,1800,continuation
1,a120_b0.3_c900_d1800_reversal,a=120s | b=0.3x sigma | c=900s | d=1800s | reversal,120,0.3,900,1800,reversal
1,a120_b0.3_c900_d7200_continuation,a=120s | b=0.3x sigma | c=900s | d=7200s | continuation,120,0.3,900,7200,continuation
1,a120_b0.3_c900_d7200_reversal,a=120s | b=0.3x sigma | c=900s | d=7200s | reversal,120,0.3,900,7200,reversal
1,a120_b0.3_c900_d14400_continuation,a=120s | b=0.3x sigma | c=900s | d=14400s | continuation,120,0.3,900,14400,continuation
1,a120_b0.3_c900_d14400_reversal,a=120s | b=0.3x sigma | c=900s | d=14400s | reversal,120,0.3,900,14400,reversal
1,a120_b0.3_c1800_d1800_continuation,a=120s | b=0.3x sigma | c=1800s | d=1800s | continuation,120,0.3,1800,1800,continuation
1,a120_b0.3_c1800_d1800_reversal,a=120s | b=0.3x sigma | c=1800s | d=1800s | reversal,120,0.3,1800,1800,reversal
1,a120_b0.3_c1800_d7200_continuation,a=120s | b=0.3x sigma | c=1800s | d=7200s | continuation,120,0.3,1800,7200,continuation
1,a120_b0.3_c1800_d7200_reversal,a=120s | b=0.3x sigma | c=1800s | d=7200s | reversal,120,0.3,1800,7200,reversal
1,a120_b0.3_c1800_d14400_continuation,a=120s | b=0.3x sigma | c=1800s | d=14400s | continuation,120,0.3,1800,14400,continuation
1,a120_b0.3_c1800_d14400_reversal,a=120s | b=0.3x sigma | c=1800s | d=14400s | reversal,120,0.3,1800,14400,reversal
1,a120_b0.3_c3600_d1800_continuation,a=120s | b=0.3x sigma | c=3600s | d=1800s | continuation,120,0.3,3600,1800,continuation
1,a120_b0.3_c3600_d1800_reversal,a=120s | b=0.3x sigma | c=3600s | d=1800s | reversal,120,0.3,3600,1800,reversal
1,a120_b0.3_c3600_d7200_continuation,a=120s | b=0.3x sigma | c=3600s | d=7200s | continuation,120,0.3,3600,7200,continuation
1,a120_b0.3_c3600_d7200_reversal,a=120s | b=0.3x sigma | c=3600s | d=7200s | reversal,120,0.3,3600,7200,reversal
1,a120_b0.3_c3600_d14400_continuation,a=120s | b=0.3x sigma | c=3600s | d=14400s | continuation,120,0.3,3600,14400,continuation
1,a120_b0.3_c3600_d14400_reversal,a=120s | b=0.3x sigma | c=3600s | d=14400s | reversal,120,0.3,3600,14400,reversal
1,a120_b0.5_c900_d1800_continuation,a=120s | b=0.5x sigma | c=900s | d=1800s | continuation,120,0.5,900,1800,continuation
1,a120_b0.5_c900_d1800_reversal,a=120s | b=0.5x sigma | c=900s | d=1800s | reversal,120,0.5,900,1800,reversal
1,a120_b0.5_c900_d7200_continuation,a=120s | b=0.5x sigma | c=900s | d=7200s | continuation,120,0.5,900,7200,continuation
1,a120_b0.5_c900_d7200_reversal,a=120s | b=0.5x sigma | c=900s | d=7200s | reversal,120,0.5,900,7200,reversal
1,a120_b0.5_c900_d14400_continuation,a=120s | b=0.5x sigma | c=900s | d=14400s | continuation,120,0.5,900,14400,continuation
1,a120_b0.5_c900_d14400_reversal,a=120s | b=0.5x sigma | c=900s | d=14400s | reversal,120,0.5,900,14400,reversal
1,a120_b0.5_c1800_d1800_continuation,a=120s | b=0.5x sigma | c=1800s | d=1800s | continuation,120,0.5,1800,1800,continuation
1,a120_b0.5_c1800_d1800_reversal,a=120s | b=0.5x sigma | c=1800s | d=1800s | reversal,120,0.5,1800,1800,reversal
1,a120_b0.5_c1800_d7200_continuation,a=120s | b=0.5x sigma | c=1800s | d=7200s | continuation,120,0.5,1800,7200,continuation
1,a120_b0.5_c1800_d7200_reversal,a=120s | b=0.5x sigma | c=1800s | d=7200s | reversal,120,0.5,1800,7200,reversal
1,a120_b0.5_c1800_d14400_continuation,a=120s | b=0.5x sigma | c=1800s | d=14400s | continuation,120,0.5,1800,14400,continuation
1,a120_b0.5_c1800_d14400_reversal,a=120s | b=0.5x sigma | c=1800s | d=14400s | reversal,120,0.5,1800,14400,reversal
1,a120_b0.5_c3600_d1800_continuation,a=120s | b=0.5x sigma | c=3600s | d=1800s | continuation,120,0.5,3600,1800,continuation
1,a120_b0.5_c3600_d1800_reversal,a=120s | b=0.5x sigma | c=3600s | d=1800s | reversal,120,0.5,3600,1800,reversal
1,a120_b0.5_c3600_d7200_continuation,a=120s | b=0.5x sigma | c=3600s | d=7200s | continuation,120,0.5,3600,7200,continuation
1,a120_b0.5_c3600_d7200_reversal,a=120s | b=0.5x sigma | c=3600s | d=7200s | reversal,120,0.5,3600,7200,reversal
1,a120_b0.5_c3600_d14400_continuation,a=120s | b=0.5x sigma | c=3600s | d=14400s | continuation,120,0.5,3600,14400,continuation
1,a120_b0.5_c3600_d14400_reversal,a=120s | b=0.5x sigma | c=3600s | d=14400s | reversal,120,0.5,3600,14400,reversal
1,a120_b0.7_c900_d1800_continuation,a=120s | b=0.7x sigma | c=900s | d=1800s | continuation,120,0.7,900,1800,continuation
1,a120_b0.7_c900_d1800_reversal,a=120s | b=0.7x sigma | c=900s | d=1800s | reversal,120,0.7,900,1800,reversal
1,a120_b0.7_c900_d7200_continuation,a=120s | b=0.7x sigma | c=900s | d=7200s | continuation,120,0.7,900,7200,continuation
1,a120_b0.7_c900_d7200_reversal,a=120s | b=0.7x sigma | c=900s | d=7200s | reversal,120,0.7,900,7200,reversal
1,a120_b0.7_c900_d14400_continuation,a=120s | b=0.7x sigma | c=900s | d=14400s | continuation,120,0.7,900,14400,continuation
1,a120_b0.7_c900_d14400_reversal,a=120s | b=0.7x sigma | c=900s | d=14400s | reversal,120,0.7,900,14400,reversal
1,a120_b0.7_c1800_d1800_continuation,a=120s | b=0.7x sigma | c=1800s | d=1800s | continuation,120,0.7,1800,1800,continuation
1,a120_b0.7_c1800_d1800_reversal,a=120s | b=0.7x sigma | c=1800s | d=1800s | reversal,120,0.7,1800,1800,reversal
1,a120_b0.7_c1800_d7200_continuation,a=120s | b=0.7x sigma | c=1800s | d=7200s | continuation,120,0.7,1800,7200,continuation
1,a120_b0.7_c1800_d7200_reversal,a=120s | b=0.7x sigma | c=1800s | d=7200s | reversal,120,0.7,1800,7200,reversal
1,a120_b0.7_c1800_d14400_continuation,a=120s | b=0.7x sigma | c=1800s | d=14400s | continuation,120,0.7,1800,14400,continuation
1,a120_b0.7_c1800_d14400_reversal,a=120s | b=0.7x sigma | c=1800s | d=14400s | reversal,120,0.7,1800,14400,reversal
1,a120_b0.7_c3600_d1800_continuation,a=120s | b=0.7x sigma | c=3600s | d=1800s | continuation,120,0.7,3600,1800,continuation
1,a120_b0.7_c3600_d1800_reversal,a=120s | b=0.7x sigma | c=3600s | d=1800s | reversal,120,0.7,3600,1800,reversal
1,a120_b0.7_c3600_d7200_continuation,a=120s | b=0.7x sigma | c=3600s | d=7200s | continuation,120,0.7,3600,7200,continuation
1,a120_b0.7_c3600_d7200_reversal,a=120s | b=0.7x sigma | c=3600s | d=7200s | reversal,120,0.7,3600,7200,reversal
1,a120_b0.7_c3600_d14400_continuation,a=120s | b=0.7x sigma | c=3600s | d=14400s | continuation,120,0.7,3600,14400,continuation
1,a120_b0.7_c3600_d14400_reversal,a=120s | b=0.7x sigma | c=3600s | d=14400s | reversal,120,0.7,3600,14400,reversal
1,a120_b0.9_c900_d1800_continuation,a=120s | b=0.9x sigma | c=900s | d=1800s | continuation,120,0.9,900,1800,continuation
1,a120_b0.9_c900_d1800_reversal,a=120s | b=0.9x sigma | c=900s | d=1800s | reversal,120,0.9,900,1800,reversal
1,a120_b0.9_c900_d7200_continuation,a=120s | b=0.9x sigma | c=900s | d=7200s | continuation,120,0.9,900,7200,continuation
1,a120_b0.9_c900_d7200_reversal,a=120s | b=0.9x sigma | c=900s | d=7200s | reversal,120,0.9,900,7200,reversal
1,a120_b0.9_c900_d14400_continuation,a=120s | b=0.9x sigma | c=900s | d=14400s | continuation,120,0.9,900,14400,continuation
1,a120_b0.9_c900_d14400_reversal,a=120s | b=0.9x sigma | c=900s | d=14400s | reversal,120,0.9,900,14400,reversal
1,a120_b0.9_c1800_d1800_continuation,a=120s | b=0.9x sigma | c=1800s | d=1800s | continuation,120,0.9,1800,1800,continuation
1,a120_b0.9_c1800_d1800_reversal,a=120s | b=0.9x sigma | c=1800s | d=1800s | reversal,120,0.9,1800,1800,reversal
1,a120_b0.9_c1800_d7200_continuation,a=120s | b=0.9x sigma | c=1800s | d=7200s | continuation,120,0.9,1800,7200,continuation
1,a120_b0.9_c1800_d7200_reversal,a=120s | b=0.9x sigma | c=1800s | d=7200s | reversal,120,0.9,1800,7200,reversal
1,a120_b0.9_c1800_d14400_continuation,a=120s | b=0.9x sigma | c=1800s | d=14400s | continuation,120,0.9,1800,14400,continuation
1,a120_b0.9_c1800_d14400_reversal,a=120s | b=0.9x sigma | c=1800s | d=14400s | reversal,120,0.9,1800,14400,reversal
1,a120_b0.9_c3600_d1800_continuation,a=120s | b=0.9x sigma | c=3600s | d=1800s | continuation,120,0.9,3600,1800,continuation
1,a120_b0.9_c3600_d1800_reversal,a=120s | b=0.9x sigma | c=3600s | d=1800s | reversal,120,0.9,3600,1800,reversal
1,a120_b0.9_c3600_d7200_continuation,a=120s | b=0.9x sigma | c=3600s | d=7200s | continuation,120,0.9,3600,7200,continuation
1,a120_b0.9_c3600_d7200_reversal,a=120s | b=0.9x sigma | c=3600s | d=7200s | reversal,120,0.9,3600,7200,reversal
1,a120_b0.9_c3600_d14400_continuation,a=120s | b=0.9x sigma | c=3600s | d=14400s | continuation,120,0.9,3600,14400,continuation
1,a120_b0.9_c3600_d14400_reversal,a=120s | b=0.9x sigma | c=3600s | d=14400s | reversal,120,0.9,3600,14400,reversal
1,a300_b0.3_c900_d1800_continuation,a=300s | b=0.3x sigma | c=900s | d=1800s | continuation,300,0.3,900,1800,continuation
1,a300_b0.3_c900_d1800_reversal,a=300s | b=0.3x sigma | c=900s | d=1800s | reversal,300,0.3,900,1800,reversal
1,a300_b0.3_c900_d7200_continuation,a=300s | b=0.3x sigma | c=900s | d=7200s | continuation,300,0.3,900,7200,continuation
1,a300_b0.3_c900_d7200_reversal,a=300s | b=0.3x sigma | c=900s | d=7200s | reversal,300,0.3,900,7200,reversal
1,a300_b0.3_c900_d14400_continuation,a=300s | b=0.3x sigma | c=900s | d=14400s | continuation,300,0.3,900,14400,continuation
1,a300_b0.3_c900_d14400_reversal,a=300s | b=0.3x sigma | c=900s | d=14400s | reversal,300,0.3,900,14400,reversal
1,a300_b0.3_c1800_d1800_continuation,a=300s | b=0.3x sigma | c=1800s | d=1800s | continuation,300,0.3,1800,1800,continuation
1,a300_b0.3_c1800_d1800_reversal,a=300s | b=0.3x sigma | c=1800s | d=1800s | reversal,300,0.3,1800,1800,reversal
1,a300_b0.3_c1800_d7200_continuation,a=300s | b=0.3x sigma | c=1800s | d=7200s | continuation,300,0.3,1800,7200,continuation
1,a300_b0.3_c1800_d7200_reversal,a=300s | b=0.3x sigma | c=1800s | d=7200s | reversal,300,0.3,1800,7200,reversal
1,a300_b0.3_c1800_d14400_continuation,a=300s | b=0.3x sigma | c=1800s | d=14400s | continuation,300,0.3,1800,14400,continuation
1,a300_b0.3_c1800_d14400_reversal,a=300s | b=0.3x sigma | c=1800s | d=14400s | reversal,300,0.3,1800,14400,reversal
1,a300_b0.3_c3600_d1800_continuation,a=300s | b=0.3x sigma | c=3600s | d=1800s | continuation,300,0.3,3600,1800,continuation
1,a300_b0.3_c3600_d1800_reversal,a=300s | b=0.3x sigma | c=3600s | d=1800s | reversal,300,0.3,3600,1800,reversal
1,a300_b0.3_c3600_d7200_continuation,a=300s | b=0.3x sigma | c=3600s | d=7200s | continuation,300,0.3,3600,7200,continuation
1,a300_b0.3_c3600_d7200_reversal,a=300s | b=0.3x sigma | c=3600s | d=7200s | reversal,300,0.3,3600,7200,reversal
1,a300_b0.3_c3600_d14400_continuation,a=300s | b=0.3x sigma | c=3600s | d=14400s | continuation,300,0.3,3600,14400,continuation
1,a300_b0.3_c3600_d14400_reversal,a=300s | b=0.3x sigma | c=3600s | d=14400s | reversal,300,0.3,3600,14400,reversal
1,a300_b0.5_c900_d1800_continuation,a=300s | b=0.5x sigma | c=900s | d=1800s | continuation,300,0.5,900,1800,continuation
1,a300_b0.5_c900_d1800_reversal,a=300s | b=0.5x sigma | c=900s | d=1800s | reversal,300,0.5,900,1800,reversal
1,a300_b0.5_c900_d7200_continuation,a=300s | b=0.5x sigma | c=900s | d=7200s | continuation,300,0.5,900,7200,continuation
1,a300_b0.5_c900_d7200_reversal,a=300s | b=0.5x sigma | c=900s | d=7200s | reversal,300,0.5,900,7200,reversal
1,a300_b0.5_c900_d14400_continuation,a=300s | b=0.5x sigma | c=900s | d=14400s | continuation,300,0.5,900,14400,continuation
1,a300_b0.5_c900_d14400_reversal,a=300s | b=0.5x sigma | c=900s | d=14400s | reversal,300,0.5,900,14400,reversal
1,a300_b0.5_c1800_d1800_continuation,a=300s | b=0.5x sigma | c=1800s | d=1800s | continuation,300,0.5,1800,1800,continuation
1,a300_b0.5_c1800_d1800_reversal,a=300s | b=0.5x sigma | c=1800s | d=1800s | reversal,300,0.5,1800,1800,reversal
1,a300_b0.5_c1800_d7200_continuation,a=300s | b=0.5x sigma | c=1800s | d=7200s | continuation,300,0.5,1800,7200,continuation
1,a300_b0.5_c1800_d7200_reversal,a=300s | b=0.5x sigma | c=1800s | d=7200s | reversal,300,0.5,1800,7200,reversal
1,a300_b0.5_c1800_d14400_continuation,a=300s | b=0.5x sigma | c=1800s | d=14400s | continuation,300,0.5,1800,14400,continuation
1,a300_b0.5_c1800_d14400_reversal,a=300s | b=0.5x sigma | c=1800s | d=14400s | reversal,300,0.5,1800,14400,reversal
1,a300_b0.5_c3600_d1800_continuation,a=300s | b=0.5x sigma | c=3600s | d=1800s | continuation,300,0.5,3600,1800,continuation
1,a300_b0.5_c3600_d1800_reversal,a=300s | b=0.5x sigma | c=3600s | d=1800s | reversal,300,0.5,3600,1800,reversal
1,a300_b0.5_c3600_d7200_continuation,a=300s | b=0.5x sigma | c=3600s | d=7200s | continuation,300,0.5,3600,7200,continuation
1,a300_b0.5_c3600_d7200_reversal,a=300s | b=0.5x sigma | c=3600s | d=7200s | reversal,300,0.5,3600,7200,reversal
1,a300_b0.5_c3600_d14400_continuation,a=300s | b=0.5x sigma | c=3600s | d=14400s | continuation,300,0.5,3600,14400,continuation
1,a300_b0.5_c3600_d14400_reversal,a=300s | b=0.5x sigma | c=3600s | d=14400s | reversal,300,0.5,3600,14400,reversal
1,a300_b0.7_c900_d1800_continuation,a=300s | b=0.7x sigma | c=900s | d=1800s | continuation,300,0.7,900,1800,continuation
1,a300_b0.7_c900_d1800_reversal,a=300s | b=0.7x sigma | c=900s | d=1800s | reversal,300,0.7,900,1800,reversal
1,a300_b0.7_c900_d7200_continuation,a=300s | b=0.7x sigma | c=900s | d=7200s | continuation,300,0.7,900,7200,continuation
1,a300_b0.7_c900_d7200_reversal,a=300s | b=0.7x sigma | c=900s | d=7200s | reversal,300,0.7,900,7200,reversal
1,a300_b0.7_c900_d14400_continuation,a=300s | b=0.7x sigma | c=900s | d=14400s | continuation,300,0.7,900,14400,continuation
1,a300_b0.7_c900_d14400_reversal,a=300s | b=0.7x sigma | c=900s | d=14400s | reversal,300,0.7,900,14400,reversal
1,a300_b0.7_c1800_d1800_continuation,a=300s | b=0.7x sigma | c=1800s | d=1800s | continuation,300,0.7,1800,1800,continuation
1,a300_b0.7_c1800_d1800_reversal,a=300s | b=0.7x sigma | c=1800s | d=1800s | reversal,300,0.7,1800,1800,reversal
1,a300_b0.7_c1800_d7200_continuation,a=300s | b=0.7x sigma | c=1800s | d=7200s | continuation,300,0.7,1800,7200,continuation
1,a300_b0.7_c1800_d7200_reversal,a=300s | b=0.7x sigma | c=1800s | d=7200s | reversal,300,0.7,1800,7200,reversal
1,a300_b0.7_c1800_d14400_continuation,a=300s | b=0.7x sigma | c=1800s | d=14400s | continuation,300,0.7,1800,14400,continuation
1,a300_b0.7_c1800_d14400_reversal,a=300s | b=0.7x sigma | c=1800s | d=14400s | reversal,300,0.7,1800,14400,reversal
1,a300_b0.7_c3600_d1800_continuation,a=300s | b=0.7x sigma | c=3600s | d=1800s | continuation,300,0.7,3600,1800,continuation
1,a300_b0.7_c3600_d1800_reversal,a=300s | b=0.7x sigma | c=3600s | d=1800s | reversal,300,0.7,3600,1800,reversal
1,a300_b0.7_c3600_d7200_continuation,a=300s | b=0.7x sigma | c=3600s | d=7200s | continuation,300,0.7,3600,7200,continuation
1,a300_b0.7_c3600_d7200_reversal,a=300s | b=0.7x sigma | c=3600s | d=7200s | reversal,300,0.7,3600,7200,reversal
1,a300_b0.7_c3600_d14400_continuation,a=300s | b=0.7x sigma | c=3600s | d=14400s | continuation,300,0.7,3600,14400,continuation
1,a300_b0.7_c3600_d14400_reversal,a=300s | b=0.7x sigma | c=3600s | d=14400s | reversal,300,0.7,3600,14400,reversal
1,a300_b0.9_c900_d1800_continuation,a=300s | b=0.9x sigma | c=900s | d=1800s | continuation,300,0.9,900,1800,continuation
1,a300_b0.9_c900_d1800_reversal,a=300s | b=0.9x sigma | c=900s | d=1800s | reversal,300,0.9,900,1800,reversal
1,a300_b0.9_c900_d7200_continuation,a=300s | b=0.9x sigma | c=900s | d=7200s | continuation,300,0.9,900,7200,continuation
1,a300_b0.9_c900_d7200_reversal,a=300s | b=0.9x sigma | c=900s | d=7200s | reversal,300,0.9,900,7200,reversal
1,a300_b0.9_c900_d14400_continuation,a=300s | b=0.9x sigma | c=900s | d=14400s | continuation,300,0.9,900,14400,continuation
1,a300_b0.9_c900_d14400_reversal,a=300s | b=0.9x sigma | c=900s | d=14400s | reversal,300,0.9,900,14400,reversal
1,a300_b0.9_c1800_d1800_continuation,a=300s | b=0.9x sigma | c=1800s | d=1800s | continuation,300,0.9,1800,1800,continuation
