schedule,fill_model,total_pnl_cents,daily_sharpe,trades,win_rate,profit_factor,max_drawdown_cents,top_1_trade_removed_pnl_cents,top_3_trade_removed_pnl_cents,top_5_trade_removed_pnl_cents,top_month_removed_pnl_cents,win_month_rate,distinct_parameter_sets,randomized_entry_p_value,bootstrap_mean_trade_ci_low,bootstrap_mean_trade_ci_high,randomized_resamples,test_name,test_value,threshold,pass
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,top_1_trade_removed_pnl,-1533.9212000000025,> 0,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,top_3_trade_removed_pnl,-1790.921200000003,> 0,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,top_5_trade_removed_pnl,-1977.921200000003,> 0,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,top_month_removed_pnl,-1436.921199999997,> 0,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,win_month_rate,0.16666666666666666,>= 0.65,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,parameter_stability_distinct_sets,10.0,<= 4,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,randomized_entry_p_value,0.7852147852147852,< 0.05,False
3m_train_1m_test,actual_bid_ask,-1377.9212000000025,-2.2267541186091284,209,0.4258373205741627,0.6692184871060802,-1416.7616000000012,-1533.9212000000025,-1790.921200000003,-1977.921200000003,-1436.921199999997,0.16666666666666666,10,0.7852147852147852,-12.933360334928228,-0.34780703349289593,1000,bootstrap_mean_trade_ci_low,-12.933360334928228,> 0,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,top_1_trade_removed_pnl,-1764.8756000000094,> 0,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,top_3_trade_removed_pnl,-2018.6600000000062,> 0,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,top_5_trade_removed_pnl,-2202.1984000000084,> 0,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,top_month_removed_pnl,-1640.1716000000104,> 0,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,win_month_rate,0.16666666666666666,>= 0.65,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,parameter_stability_distinct_sets,10.0,<= 4,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,randomized_entry_p_value,0.8711288711288712,< 0.05,False
3m_train_1m_test,mid_dynamic_cost,-1610.7954000000104,-2.5919788123803578,209,0.4258373205741627,0.6266486909905978,-1645.6662000000122,-1764.8756000000094,-2018.6600000000062,-2202.1984000000084,-1640.1716000000104,0.16666666666666666,10,0.8711288711288712,-14.063667009569407,-1.3876870574163451,1000,bootstrap_mean_trade_ci_low,-14.063667009569407,> 0,False
6m_train_1m_test,actual_bid_ask,-234.92320000000956,-0.7345355236036984,147,0.48299319727891155,0.8857537021093117,-490.65279999999973,-353.9232000000093,-526.9232000000084,-668.9232000000079,-293.9232000000042,0.3333333333333333,6,0.36663336663336665,-7.266618639455781,4.146646122448776,1000,top_1_trade_removed_pnl,-353.9232000000093,> 0,False
