delay_s,percentile,move_window_s,hold_s,signal_mode,bad_hour_rule,label
60,97.5,900,21600,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight
60,97.5,1800,3600,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | exit_by_midnight
60,97.5,1800,3600,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | exit_by_midnight
60,97.5,1800,7200,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=7200s | continuation | exit_by_midnight
60,97.5,1800,7200,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight
60,97.5,1800,14400,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=14400s | continuation | exit_by_midnight
60,97.5,1800,14400,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
60,97.5,1800,21600,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=21600s | continuation | exit_by_midnight
60,97.5,1800,21600,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight
60,97.5,3600,3600,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=3600s | continuation | exit_by_midnight
60,97.5,3600,3600,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=3600s | reversal | exit_by_midnight
60,97.5,3600,7200,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=7200s | continuation | exit_by_midnight
60,97.5,3600,7200,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight
60,97.5,3600,14400,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=14400s | continuation | exit_by_midnight
60,97.5,3600,14400,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight
60,97.5,3600,21600,continuation,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=21600s | continuation | exit_by_midnight
60,97.5,3600,21600,reversal,exit_by_midnight,a=60s | move>97.5th percentile of recent 3600s moves | hold=21600s | reversal | exit_by_midnight
60,99.0,300,3600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=3600s | continuation | exit_by_midnight
60,99.0,300,3600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=3600s | reversal | exit_by_midnight
60,99.0,300,7200,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=7200s | continuation | exit_by_midnight
60,99.0,300,7200,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=7200s | reversal | exit_by_midnight
60,99.0,300,14400,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=14400s | continuation | exit_by_midnight
60,99.0,300,14400,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
60,99.0,300,21600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=21600s | continuation | exit_by_midnight
60,99.0,300,21600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 300s moves | hold=21600s | reversal | exit_by_midnight
60,99.0,900,3600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=3600s | continuation | exit_by_midnight
60,99.0,900,3600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=3600s | reversal | exit_by_midnight
60,99.0,900,7200,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
60,99.0,900,7200,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=7200s | reversal | exit_by_midnight
60,99.0,900,14400,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=14400s | continuation | exit_by_midnight
60,99.0,900,14400,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight
60,99.0,900,21600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=21600s | continuation | exit_by_midnight
60,99.0,900,21600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight
60,99.0,1800,3600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=3600s | continuation | exit_by_midnight
60,99.0,1800,3600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=3600s | reversal | exit_by_midnight
60,99.0,1800,7200,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=7200s | continuation | exit_by_midnight
60,99.0,1800,7200,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight
60,99.0,1800,14400,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=14400s | continuation | exit_by_midnight
60,99.0,1800,14400,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
60,99.0,1800,21600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=21600s | continuation | exit_by_midnight
60,99.0,1800,21600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight
60,99.0,3600,3600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=3600s | continuation | exit_by_midnight
60,99.0,3600,3600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=3600s | reversal | exit_by_midnight
60,99.0,3600,7200,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=7200s | continuation | exit_by_midnight
60,99.0,3600,7200,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight
60,99.0,3600,14400,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=14400s | continuation | exit_by_midnight
60,99.0,3600,14400,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight
60,99.0,3600,21600,continuation,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=21600s | continuation | exit_by_midnight
60,99.0,3600,21600,reversal,exit_by_midnight,a=60s | move>99th percentile of recent 3600s moves | hold=21600s | reversal | exit_by_midnight
120,95.0,300,3600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=3600s | continuation | exit_by_midnight
120,95.0,300,3600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=3600s | reversal | exit_by_midnight
120,95.0,300,7200,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=7200s | continuation | exit_by_midnight
120,95.0,300,7200,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=7200s | reversal | exit_by_midnight
120,95.0,300,14400,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=14400s | continuation | exit_by_midnight
120,95.0,300,14400,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
120,95.0,300,21600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=21600s | continuation | exit_by_midnight
120,95.0,300,21600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 300s moves | hold=21600s | reversal | exit_by_midnight
120,95.0,900,3600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=3600s | continuation | exit_by_midnight
120,95.0,900,3600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=3600s | reversal | exit_by_midnight
120,95.0,900,7200,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
120,95.0,900,7200,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=7200s | reversal | exit_by_midnight
120,95.0,900,14400,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=14400s | continuation | exit_by_midnight
120,95.0,900,14400,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight
120,95.0,900,21600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=21600s | continuation | exit_by_midnight
120,95.0,900,21600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight
120,95.0,1800,3600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=3600s | continuation | exit_by_midnight
120,95.0,1800,3600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=3600s | reversal | exit_by_midnight
120,95.0,1800,7200,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | continuation | exit_by_midnight
120,95.0,1800,7200,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight
120,95.0,1800,14400,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | continuation | exit_by_midnight
120,95.0,1800,14400,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
120,95.0,1800,21600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=21600s | continuation | exit_by_midnight
120,95.0,1800,21600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight
120,95.0,3600,3600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=3600s | continuation | exit_by_midnight
120,95.0,3600,3600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=3600s | reversal | exit_by_midnight
120,95.0,3600,7200,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=7200s | continuation | exit_by_midnight
120,95.0,3600,7200,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight
120,95.0,3600,14400,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=14400s | continuation | exit_by_midnight
120,95.0,3600,14400,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight
120,95.0,3600,21600,continuation,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=21600s | continuation | exit_by_midnight
120,95.0,3600,21600,reversal,exit_by_midnight,a=120s | move>95th percentile of recent 3600s moves | hold=21600s | reversal | exit_by_midnight
120,97.5,300,3600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=3600s | continuation | exit_by_midnight
120,97.5,300,3600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=3600s | reversal | exit_by_midnight
120,97.5,300,7200,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=7200s | continuation | exit_by_midnight
120,97.5,300,7200,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=7200s | reversal | exit_by_midnight
120,97.5,300,14400,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=14400s | continuation | exit_by_midnight
120,97.5,300,14400,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
120,97.5,300,21600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=21600s | continuation | exit_by_midnight
120,97.5,300,21600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 300s moves | hold=21600s | reversal | exit_by_midnight
120,97.5,900,3600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | continuation | exit_by_midnight
120,97.5,900,3600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=3600s | reversal | exit_by_midnight
120,97.5,900,7200,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
120,97.5,900,7200,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=7200s | reversal | exit_by_midnight
120,97.5,900,14400,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=14400s | continuation | exit_by_midnight
120,97.5,900,14400,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight
120,97.5,900,21600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=21600s | continuation | exit_by_midnight
120,97.5,900,21600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight
120,97.5,1800,3600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | continuation | exit_by_midnight
120,97.5,1800,3600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=3600s | reversal | exit_by_midnight
120,97.5,1800,7200,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | continuation | exit_by_midnight
120,97.5,1800,7200,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight
120,97.5,1800,14400,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=14400s | continuation | exit_by_midnight
120,97.5,1800,14400,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
120,97.5,1800,21600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=21600s | continuation | exit_by_midnight
120,97.5,1800,21600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight
120,97.5,3600,3600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=3600s | continuation | exit_by_midnight
120,97.5,3600,3600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=3600s | reversal | exit_by_midnight
120,97.5,3600,7200,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=7200s | continuation | exit_by_midnight
120,97.5,3600,7200,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight
120,97.5,3600,14400,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=14400s | continuation | exit_by_midnight
120,97.5,3600,14400,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight
120,97.5,3600,21600,continuation,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=21600s | continuation | exit_by_midnight
120,97.5,3600,21600,reversal,exit_by_midnight,a=120s | move>97.5th percentile of recent 3600s moves | hold=21600s | reversal | exit_by_midnight
120,99.0,300,3600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=3600s | continuation | exit_by_midnight
120,99.0,300,3600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=3600s | reversal | exit_by_midnight
120,99.0,300,7200,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=7200s | continuation | exit_by_midnight
120,99.0,300,7200,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=7200s | reversal | exit_by_midnight
120,99.0,300,14400,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=14400s | continuation | exit_by_midnight
120,99.0,300,14400,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
120,99.0,300,21600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=21600s | continuation | exit_by_midnight
120,99.0,300,21600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 300s moves | hold=21600s | reversal | exit_by_midnight
120,99.0,900,3600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=3600s | continuation | exit_by_midnight
120,99.0,900,3600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=3600s | reversal | exit_by_midnight
120,99.0,900,7200,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
120,99.0,900,7200,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=7200s | reversal | exit_by_midnight
120,99.0,900,14400,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=14400s | continuation | exit_by_midnight
120,99.0,900,14400,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight
120,99.0,900,21600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=21600s | continuation | exit_by_midnight
120,99.0,900,21600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight
120,99.0,1800,3600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=3600s | continuation | exit_by_midnight
120,99.0,1800,3600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=3600s | reversal | exit_by_midnight
120,99.0,1800,7200,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=7200s | continuation | exit_by_midnight
120,99.0,1800,7200,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=7200s | reversal | exit_by_midnight
120,99.0,1800,14400,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=14400s | continuation | exit_by_midnight
120,99.0,1800,14400,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=14400s | reversal | exit_by_midnight
120,99.0,1800,21600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=21600s | continuation | exit_by_midnight
120,99.0,1800,21600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 1800s moves | hold=21600s | reversal | exit_by_midnight
120,99.0,3600,3600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=3600s | continuation | exit_by_midnight
120,99.0,3600,3600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=3600s | reversal | exit_by_midnight
120,99.0,3600,7200,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=7200s | continuation | exit_by_midnight
120,99.0,3600,7200,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=7200s | reversal | exit_by_midnight
120,99.0,3600,14400,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=14400s | continuation | exit_by_midnight
120,99.0,3600,14400,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=14400s | reversal | exit_by_midnight
120,99.0,3600,21600,continuation,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=21600s | continuation | exit_by_midnight
120,99.0,3600,21600,reversal,exit_by_midnight,a=120s | move>99th percentile of recent 3600s moves | hold=21600s | reversal | exit_by_midnight
300,95.0,300,3600,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=3600s | continuation | exit_by_midnight
300,95.0,300,3600,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=3600s | reversal | exit_by_midnight
300,95.0,300,7200,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=7200s | continuation | exit_by_midnight
300,95.0,300,7200,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=7200s | reversal | exit_by_midnight
300,95.0,300,14400,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=14400s | continuation | exit_by_midnight
300,95.0,300,14400,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=14400s | reversal | exit_by_midnight
300,95.0,300,21600,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=21600s | continuation | exit_by_midnight
300,95.0,300,21600,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 300s moves | hold=21600s | reversal | exit_by_midnight
300,95.0,900,3600,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=3600s | continuation | exit_by_midnight
300,95.0,900,3600,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=3600s | reversal | exit_by_midnight
300,95.0,900,7200,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=7200s | continuation | exit_by_midnight
300,95.0,900,7200,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=7200s | reversal | exit_by_midnight
300,95.0,900,14400,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=14400s | continuation | exit_by_midnight
300,95.0,900,14400,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=14400s | reversal | exit_by_midnight
300,95.0,900,21600,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=21600s | continuation | exit_by_midnight
300,95.0,900,21600,reversal,exit_by_midnight,a=300s | move>95th percentile of recent 900s moves | hold=21600s | reversal | exit_by_midnight
300,95.0,1800,3600,continuation,exit_by_midnight,a=300s | move>95th percentile of recent 1800s moves | hold=3600s | continuation | exit_by_midnight
